# generated_at: 2025-12-11T23:29:05-03:00
# user: drinxar
# host: Drinxar

command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
kworker/R-dm_vb	5	0.0	0.0	0.0	0.0
kworker/R-sync_	5	0.0	0.0	0.0	0.0
gnome-remote-de	5	0.0	0.0	0.1	0.1
sd_espeak-ng-mb	5	0.0	0.0	0.0	0.0
ksoftirqd/5	5	0.0	0.0	0.0	0.0
gnome-shell	5	5.5	5.5	2.3	2.3
kworker/6:3-mm_	1	0.0	0.0	0.0	0.0
sd_openjtalk	5	0.0	0.0	0.0	0.0
kworker/R-amdgp	15	0.0	0.0	0.0	0.0
scsi_eh_9	5	0.0	0.0	0.0	0.0
cpuhp/9	5	0.0	0.0	0.0	0.0
sd_dummy	5	0.0	0.0	0.0	0.0
ibus-engine-sim	5	0.0	0.0	0.0	0.0
kworker/R-ata_s	5	0.0	0.0	0.0	0.0
idle_inject/8	5	0.0	0.0	0.0	0.0
kworker/10:0-ev	4	0.0	0.0	0.0	0.0
migration/11	5	0.0	0.0	0.0	0.0
kworker/8:2	5	0.0	0.0	0.0	0.0
scsi_eh_3	5	0.0	0.0	0.0	0.0
kauditd	5	0.0	0.0	0.0	0.0
cpuhp/3	5	0.0	0.0	0.0	0.0
kcompactd0	5	0.0	0.0	0.0	0.0
report.sh	5	0.0	0.0	0.0	0.0
oom_reaper	5	0.0	0.0	0.0	0.0
evolution-calen	5	0.0	0.0	0.1	0.1
ModemManager	5	0.0	0.0	0.0	0.0
Web Content	15	0.0	0.0	0.5	0.5
kworker/u48:2-g	1	0.1	0.1	0.0	0.0
gvfsd	5	0.0	0.0	0.0	0.0
kworker/u49:10-	5	0.0	0.0	0.0	0.0
ksoftirqd/2	5	0.0	0.0	0.0	0.0
(sd-pam)	5	0.0	0.0	0.0	0.0
goa-identity-se	5	0.0	0.0	0.0	0.0
evolution-alarm	5	0.0	0.0	0.4	0.4
kworker/5:1-eve	5	0.0	0.0	0.0	0.0
kworker/8:0-eve	5	0.0	0.0	0.0	0.0
cat	15	0.0	0.0	0.0	0.0
card1-crtc0	5	0.0	0.0	0.0	0.0
kworker/R-devfr	5	0.0	0.0	0.0	0.0
kworker/R-inet_	5	0.0	0.0	0.0	0.0
idle_inject/3	5	0.0	0.0	0.0	0.0
kworker/u49:1-t	5	0.0	0.0	0.0	0.0
ksoftirqd/11	5	0.0	0.0	0.0	0.0
kworker/7:0-eve	5	0.0	0.0	0.0	0.0
wireplumber	5	0.0	0.0	0.1	0.1
migration/1	5	0.0	0.0	0.0	0.0
cpuhp/11	5	0.0	0.0	0.0	0.0
kworker/8:1H-kb	5	0.0	0.0	0.0	0.0
gvfsd-http	5	0.0	0.0	0.1	0.1
kworker/u49:14-	5	0.0	0.0	0.0	0.0
kworker/7:2-eve	5	0.0	0.0	0.0	0.0
irq/25-AMD-Vi0-	5	0.0	0.0	0.0	0.0
cron	5	0.0	0.0	0.0	0.0
gsd-keyboard	5	0.0	0.0	0.1	0.1
kworker/u48:5-g	5	0.1	0.1	0.0	0.0
kworker/u49:2	5	0.0	0.0	0.0	0.0
kerneloops	10	0.0	0.0	0.0	0.0
kworker/R-ttm	5	0.0	0.0	0.0	0.0
gsd-sound	5	0.0	0.0	0.0	0.0
kworker/u49:12-	5	0.0	0.0	0.0	0.0
kworker/u48:3-g	4	0.0	0.1	0.0	0.0
kworker/3:0	5	0.0	0.0	0.0	0.0
gsd-rfkill	5	0.0	0.0	0.0	0.0
snapd-desktop-i	10	0.0	0.0	0.1	0.2
kworker/u49:4-t	5	0.0	0.0	0.0	0.0
RDD Process	5	0.0	0.0	0.3	0.3
NetworkManager	5	0.0	0.0	0.1	0.1
ksoftirqd/1	5	0.0	0.0	0.0	0.0
file:// Content	5	0.2	0.2	1.5	1.5
pipewire-pulse	5	0.7	0.7	0.3	0.3
kworker/R-slub_	5	0.0	0.0	0.0	0.0
gvfsd-metadata	5	0.0	0.0	0.0	0.0
idle_inject/4	5	0.0	0.0	0.0	0.0
migration/6	5	0.0	0.0	0.0	0.0
kworker/0:0-eve	4	0.0	0.0	0.0	0.0
scsi_eh_7	5	0.0	0.0	0.0	0.0
irq/9-acpi	5	0.0	0.0	0.0	0.0
cpuhp/7	5	0.0	0.0	0.0	0.0
kworker/u48:1-e	3	0.0	0.0	0.0	0.0
kworker/R-kstrp	5	0.0	0.0	0.0	0.0
gnome-calendar	5	0.0	0.0	0.4	0.4
systemd-logind	5	0.0	0.0	0.0	0.0
kworker/1:3-eve	5	0.0	0.0	0.0	0.0
update-notifier	5	0.0	0.0	0.2	0.2
kswapd0	5	0.0	0.0	0.0	0.0
watchdogd	5	0.0	0.0	0.0	0.0
ksmd	5	0.0	0.0	0.0	0.0
kworker/2:1H-kb	5	0.0	0.0	0.0	0.0
Isolated Web Co	15	2.8	6.4	4.1	5.9
rcu_tasks_kthre	5	0.0	0.0	0.0	0.0
gvfs-gphoto2-vo	5	0.0	0.0	0.0	0.0
dconf-service	5	0.0	0.0	0.0	0.0
ksoftirqd/4	5	0.0	0.0	0.0	0.0
ps	5	0.0	0.0	0.0	0.0
kworker/7:1-eve	5	0.0	0.0	0.0	0.0
idle_inject/11	5	0.0	0.0	0.0	0.0
gvfs-goa-volume	5	0.0	0.0	0.0	0.0
sd_espeak-ng	5	0.0	0.0	0.0	0.0
rtkit-daemon	5	0.0	0.0	0.0	0.0
idle_inject/9	5	0.0	0.0	0.0	0.0
kworker/7:1H-kb	5	0.0	0.0	0.0	0.0
gjs	15	0.0	0.0	0.2	0.4
kworker/6:3-eve	4	0.0	0.0	0.0	0.0
migration/10	5	0.0	0.0	0.0	0.0
rcu_preempt	5	0.1	0.1	0.0	0.0
scsi_eh_0	5	0.0	0.0	0.0	0.0
cpuhp/0	5	0.0	0.0	0.0	0.0
systemd-journal	5	7.2	7.2	0.1	0.1
kworker/R-md_bi	5	0.0	0.0	0.0	0.0
kworker/2:0H-ev	5	0.0	0.0	0.0	0.0
cups-browsed	5	0.0	0.0	0.1	0.1
kworker/10:1H-k	5	0.0	0.0	0.0	0.0
gvfs-afc-volume	5	0.0	0.0	0.0	0.0
gvfs-udisks2-vo	5	0.0	0.0	0.0	0.0
kworker/u48:2-f	1	0.1	0.1	0.0	0.0
kworker/R-kvfre	5	0.0	0.0	0.0	0.0
speech-dispatch	5	0.0	0.0	0.0	0.0
Privileged Cont	5	0.1	0.1	1.3	1.3
rsyslogd	5	13.6	13.6	0.0	0.0
evolution-addre	5	0.0	0.0	0.2	0.2
evolution-sourc	5	0.0	0.0	0.3	0.3
fwupd	5	0.0	0.0	0.3	0.3
kworker/u48:0-f	5	0.1	0.1	0.0	0.0
gnome-terminal-	5	0.1	0.1	0.4	0.4
gnome-session-c	5	0.0	0.0	0.0	0.0
card1-crtc3	5	0.0	0.0	0.0	0.0
irq/26-AMD-Vi0-	5	0.0	0.0	0.0	0.0
idle_inject/0	5	0.0	0.0	0.0	0.0
migration/2	5	0.0	0.0	0.0	0.0
kworker/0:2	5	0.0	0.0	0.0	0.0
kworker/R-scsi_	50	0.0	0.0	0.0	0.0
